relative_path,size_bytes,sha256
ORIGINAL_BINARY_AVAILABILITY.csv,1181,d5a4098029583994d8a6cb418a5f490b3cb4be31d543a2e470df1d4d661bc499
PROVENANCE.json,654,f525923926edea84eaa37f42f817fd1db53784c5153b80590d75b1a0f4130562
PUBLIC_INPUTS.csv,712,ccb1ef19182235f47714de05a1ee59f38f6b420ea41f87d5e0af78f87971e366
README.md,1794,eb5fe948b7d1dce9db37ca9eeb4d65257931f4e187e8e2d3fd82948ee22a6312
benchmarks/toptag_pyhf/manifests/derived_templates_manifest.csv,2088,55395e013da38d397553242e59893490156b59f2f6319d9cc5397ad2ef90b50f
benchmarks/toptag_pyhf/manifests/record80030_files.csv,349894,eae66882e787a3adf3fcb177988a48679169c9627bdcaa559fd8b158e1fd4cca
benchmarks/toptag_pyhf/manifests/selected_shard001.csv,1046,dcfd63763ce39b2ad786b2105818ff886ad3ac7ab61265ca5724f32590397bab
benchmarks/toptag_pyhf/manifests/selected_shard002.csv,1039,96c8102d7d3e8479aa7b96fed036032f269de0139840972310797c9809e4bb3e
benchmarks/toptag_pyhf/outputs/e102_metric_likelihood_rows.csv,8499,3741f189b3cecc90a361cde563a5918d9eff9a4aa176b8a2902c63bced4cc671
benchmarks/toptag_pyhf/outputs/e102_paired_contrasts.csv,1504,fe7b9a9a7052808757f65ae053c224d7071ca5dfd6ca984a5e924e5d770ccfeb
benchmarks/toptag_pyhf/outputs/e102_summary.json,1198,d0b883b49b94274afe1f2023047ab2431a2593df0486c7ee98828b30602d6c61
benchmarks/toptag_pyhf/outputs/e103_metric_likelihood_rows.csv,2979,023331fea52b703a36703f4bcaa17012cc17ba9285a516902d5a0e49d2658bf3
benchmarks/toptag_pyhf/outputs/e103_paired_contrasts.csv,525,cb1fa296a7b6970dad0acac3e5a4ae2c50886038a322e7916d589808c68ef0c1
benchmarks/toptag_pyhf/outputs/e103_summary.json,1384,ddbddb8c81f0a401079e352be6b3874216532bb4589c84685ad1e77524a66df2
benchmarks/toptag_pyhf/outputs/e91d_aggregate_summary.csv,391,0ce8e0f98f0d5dc97584912e1f938b8cd73205e4ec711a26a25e2a4714c2593f
benchmarks/toptag_pyhf/outputs/e91d_cross_shard_profile_summary.csv,545,e00e306e88124a75ddfe544657ae4ec9d8f21719bde977bc53ee6b8cdaa18338
benchmarks/toptag_pyhf/workspaces/workspace_nominal_constituent_balanced_seed42_shard000.json,4678,f9bc289f1e7aa372b94fb85a6e60a38ba5a2d7c301891b25ca0263392774498b
benchmarks/toptag_pyhf/workspaces/workspace_nominal_constituent_shared_baseline_seed42_shard000.json,4677,67cc010321b640a4b33063154c00104acff7dec6ed54edf67da520a2b2e34006
config/e102_metric_to_likelihood_audit_pre_registered_config.json,3053,91f31f8b916b9aaa15a4e64c27edff67affe5c243d9cb3576a3d76e83f204637
